date,crudedaily.rets
12/1/1988,1.41754951
12/2/1988,0.319387049
12/5/1988,-2.127054089
12/6/1988,0.972454989
12/7/1988,1.853680434
12/8/1988,-2.047416368
12/9/1988,2.741644464
12/12/1988,1.125715452
12/13/1988,-0.937213983
12/14/1988,2.479978306
12/15/1988,0.305717144
12/16/1988,2.5912869
12/19/1988,-3.511256589
12/20/1988,8.557267568
12/21/1988,-2.404237155
12/22/1988,0.520082074
12/23/1988,-4.238421319
12/26/1988,0
12/27/1988,2.023878604
12/28/1988,0.352941543
12/29/1988,-1.359760827
12/30/1988,1.828420149
1/2/1989,0
1/3/1989,1.565703193
1/4/1989,-2.269518415
1/5/1989,2.61414828
1/6/1989,0.628753143
1/9/1989,1.076802697
1/10/1989,0.337648042
1/11/1989,1.947210341
1/12/1989,-0.220628882
1/13/1989,2.07657735
1/16/1989,2.087311532
1/17/1989,0.73878964
1/18/1989,0.941922192
1/19/1989,0.415801015
1/20/1989,-2.308602003
1/23/1989,-6.468007397
1/24/1989,1.628791976
1/25/1989,1.547847376
1/26/1989,-3.120030236
1/27/1989,0.395369055
1/30/1989,-2.453760769
1/31/1989,-1.807102513
2/1/1989,2.841594497
2/2/1989,1.250016276
2/3/1989,-1.192857087
2/6/1989,-0.688076109
2/7/1989,0.916386711
2/8/1989,-0.285469791
2/9/1989,-0.458453525
2/10/1989,-1.738166588
2/13/1989,2.823581414
2/14/1989,-0.056834329
2/15/1989,3.518933308
2/16/1989,0.710968267
2/17/1989,1.353200622
2/20/1989,0
2/21/1989,0.214822854
2/22/1989,-0.753907717
2/23/1989,-0.054068669
2/24/1989,-2.408436062
2/27/1989,0.607568839
2/28/1989,0.274952057
3/1/1989,0.438356866
3/2/1989,2.056349515
3/3/1989,-0.053576213
3/6/1989,0.321027563
3/7/1989,-3.257617043
3/8/1989,2.399242674
3/9/1989,-0.215749814
3/10/1989,0
3/13/1989,2.821587235
3/14/1989,2.129397519
3/15/1989,1.883486577
3/16/1989,0.10080646
3/17/1989,2.438538349
3/20/1989,-4.114980964
3/21/1989,2.778658182
3/22/1989,0.695136861
3/23/1989,-0.247708821
3/24/1989,0
3/27/1989,1.916049774
3/28/1989,-3.113668879
3/29/1989,1.395835225
3/30/1989,3.979176104
3/31/1989,-3.633240498
4/3/1989,-1.241018658
4/4/1989,2.758795652
4/5/1989,-2.559194787
4/6/1989,-1.05237754
4/7/1989,0.852776675
4/10/1989,3.098354552
4/11/1989,-0.436787882
4/12/1989,0.436787882
4/13/1989,-1.956052585
