roilf	roilf1
-0.037530494	-11.5403722
-1.43669768	-0.037530494
-2.976065049	-1.43669768
4.412762728	-2.976065049
-3.203935374	4.412762728
0.887522708	-3.203935374
-1.392672412	0.887522708
3.14443084	-1.392672412
-2.949840391	3.14443084
1.963489451	-2.949840391
2.81920569	1.963489451
2.705832354	2.81920569
-1.343764545	2.705832354
4.118755841	-1.343764545
2.323669661	4.118755841
-1.485090323	2.323669661
1.382192012	-1.485090323
-1.069528912	1.382192012
1.548817744	-1.069528912
-0.857491106	1.548817744
-0.621978508	-0.857491106
1.068791419	-0.621978508
0	1.068791419
0.649463913	0
-2.658537377	0.649463913
1.803100168	-2.658537377
1.56839219	1.803100168
2.966389808	1.56839219
-0.065703025	2.966389808
-1.323208191	-0.065703025
1.4545711	-1.323208191
2.303427063	1.4545711
0.352169405	2.303427063
0.57361534	0.352169405
2.788838111	0.57361534
-2.661813642	2.788838111
-2.767229339	-2.661813642
1.714420125	-2.767229339
-0.353414022	1.714420125
-2.311677088	-0.353414022
-1.326279388	-2.311677088
2.830067124	-1.326279388
-5.502304601	2.830067124
-1.346008242	-5.502304601
3.98486231	-1.346008242
-3.188872643	3.98486231
0.892250257	-3.188872643
3.094764301	0.892250257
0.693186469	3.094764301
-0.825768524	0.693186469
0.891536366	-0.825768524
0	0.891536366
-0.957893369	0
0.29826037	-0.957893369
2.160476831	0.29826037
0.581209256	2.160476831
0.705809796	0.581209256
-0.031974421	0.705809796
1.113066031	-0.031974421
-1.81910234	1.113066031
1.152750517	-1.81910234
1.735880735	1.152750517
-0.564795979	1.735880735
-5.132641739	-0.564795979
-1.737430942	-5.132641739
1.836752254	-1.737430942
-0.165590367	1.836752254
-0.199071068	-0.165590367
0.430820882	-0.199071068
1.444542519	0.430820882
-0.457367671	1.444542519
5.633948005	-0.457367671
-1.465341886	5.633948005
1.186401677	-1.465341886
-1.627069687	1.186401677
2.15330523	-1.627069687
-0.650459162	2.15330523
-0.529678758	-0.650459162
-0.28155814	-0.529678758
-3.636764417	-0.28155814
1.002109566	-3.636764417
-0.128741569	1.002109566
-0.516630145	-0.128741569
-0.616985234	-0.516630145
0.811034454	-0.616985234
2.960585479	0.811034454
-0.125549295	2.960585479
-0.8832865	-0.125549295
1.228168485	-0.8832865
-2.343362454	1.228168485
0.924898955	-2.343362454
0.221975674	0.924898955
0	0.221975674
-7.087255	0
0.271647026	-7.087255
-1.744528593	0.271647026
-0.345662287	-1.744528593
-0.103932107	-0.345662287
1.137355014	-0.103932107
0.580900318	1.137355014
-1.82229557	0.580900318
-1.926841887	-1.82229557
-0.460912002	-1.926841887
-2.082660554	-0.460912002
-1.941808586	-2.082660554
0.516606315	-1.941808586
-0.516606315	0.516606315
-0.259307424	-0.516606315
0.628584063	-0.259307424
4.009928595	0.628584063
0.176897269	4.009928595
-0.460585402	0.176897269
0.848661388	-0.460585402
2.777956411	0.848661388
0.648577116	2.777956411
1.51952949	0.648577116
1.859283308	1.51952949
0.229998459	1.859283308
-0.197109131	0.229998459
-1.9927594	-0.197109131
3.946582542	-1.9927594
3.048822996	3.946582542
-0.062578225	3.048822996
-0.407715791	-0.062578225
-0.157257463	-0.407715791
-0.726586675	-0.157257463
-2.764560504	-0.726586675
-1.081445899	-2.764560504
-0.561706417	-1.081445899
-0.865230023	-0.561706417
1.262055941	-0.865230023
-0.463116938	1.262055941
-0.798939003	-0.463116938
-1.210505703	-0.798939003
-2.223454005	-1.210505703
-1.533665474	-2.223454005
2.223085647	-1.533665474
-0.724016264	2.223085647
-0.520382788	-0.724016264
5.250994527	-0.520382788
-0.132100416	5.250994527
1.931004199	-0.132100416
0.097197481	1.931004199
0.870552008	0.097197481
0.576185973	0.870552008
1.802990483	0.576185973
1.462605815	1.802990483
-1.996946234	1.462605815
4.769401036	-1.996946234
-1.087624014	4.769401036
-0.18242632	-1.087624014
-3.878258638	-0.18242632
-6.09805852	-3.878258638
0.1008234	-6.09805852
2.127032666	0.1008234
0	2.127032666
0	0
-1.524217713	0
2.733580385	-1.524217713
1.034269077	2.733580385
0.513150581	1.034269077
-1.709994885	0.513150581
4.361665399	-1.709994885
-1.064839376	4.361665399
0.377121754	-1.064839376
-0.09414719	0.377121754
3.668156663	-0.09414719
0.422833611	3.668156663
-0.877862456	0.422833611
1.388911216	-0.877862456
1.073675688	1.388911216
-2.068109075	1.073675688
-3.544831006	-2.068109075
0.250705239	-3.544831006
2.808393179	0.250705239
0	2.808393179
0	0
-1.409768981	0
1.196516806	-1.409768981
-0.826830618	1.196516806
0	-0.826830618
0	0
3.80136267	0
-0.237107402	3.80136267
-0.237670938	-0.237107402
1.065098826	-0.237670938
0.966474063	1.065098826
1.187903292	0.966474063
-0.838761244	1.187903292
0.203104669	-0.838761244
-3.120653582	0.203104669
4.759327594	-3.120653582
0	4.759327594
3.171305468	0
-4.578363858	3.171305468
1.007057856	-4.578363858
0.028624589	1.007057856
-1.354292418	0.028624589
-1.020565791	-1.354292418
-1.476259464	-1.020565791
-2.438778101	-1.476259464
0.728821932	-2.438778101
5.675490329	0.728821932
-2.54790853	5.675490329
-2.976410191	-2.54790853
-0.060441223	-2.976410191
-1.830435486	-0.060441223
1.071821622	-1.830435486
3.118693532	1.071821622
0.383085779	3.118693532
-0.058840837	0.383085779
1.692482769	-0.058840837
0	1.692482769
1.80650074	0
0.736130164	1.80650074
1.539568548	0.736130164
-1.11733006	1.539568548
-3.574361919	-1.11733006
0.667346159	-3.574361919
3.131482746	0.667346159
-0.477596076	3.131482746
1.813918857	-0.477596076
1.917341672	1.813918857
-0.544070983	1.917341672
-1.539337707	-0.544070983
1.484767447	-1.539337707
1.677982537	1.484767447
-1.869213301	1.677982537
-0.796160691	-1.869213301
-0.497375991	-0.796160691
1.866135384	-0.497375991
-1.61713816	1.866135384
3.395681403	-1.61713816
0.106780576	3.395681403
1.850436093	0.106780576
-0.65694626	1.850436093
0.394685422	-0.65694626
-2.580273485	0.394685422
0.912023489	-2.580273485
-1.181856357	0.912023489
-4.137379944	-1.181856357
0.617632508	-4.137379944
-0.786741906	0.617632508
